timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727184424433,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184425433,48935,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184425433,18793,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184425433,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184426433,48929,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184426433,24625,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184426433,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184427434,49005,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184427434,15286,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184427434,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184428434,49034,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184428434,18734,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184428434,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184429435,49034,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184429435,5448,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184429435,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184430435,49051,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184430435,750,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184430435,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184431435,49076,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184431435,2337,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184431435,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184432435,49075,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184432435,2697,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184432435,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184433436,49075,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184433436,1957,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184433436,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184434436,49074,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184434436,16106,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184434436,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184435437,49076,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184435437,16896,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184435437,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184436437,49072,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184436437,18105,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184436437,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184437437,49067,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184437437,12478,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184437437,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184438438,49066,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184438438,15545,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184438438,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184439449,49066,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184439449,6199,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184439449,1000,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184440450,49066,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184440450,0,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184440450,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184441450,49066,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184441450,375,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184441450,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184442451,49065,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184442451,0,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184442451,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184443466,49065,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184443466,0,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184443466,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184444482,49064,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184444482,0,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184444482,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184445482,49058,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184445482,6498,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184445482,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184446497,49057,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184446497,7449,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184446497,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184447498,49089,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184447498,13760,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184447498,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184448498,49188,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184448498,1525,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184448498,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184449498,49188,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184449498,3848,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184449498,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184450513,49187,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184450513,0,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184450513,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184451529,49186,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184451529,393,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184451529,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184452544,49111,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184452544,2738,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184452544,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184453560,49121,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184453560,0,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184453560,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184454576,49119,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184454576,763,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184454576,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184455576,49112,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184455576,2312,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184455576,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184456576,49604,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184456576,5827,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184456576,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184457591,49530,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184457591,4323,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184457591,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184458607,49529,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184458607,15030,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184458607,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184459622,49528,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184459622,13455,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184459622,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184460622,49495,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184460622,1525,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184460622,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184461623,49559,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184461623,3461,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184461623,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184462623,49268,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184462623,6200,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184462623,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184463623,49268,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184463623,1880,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184463623,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184464623,49435,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184464623,1170,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184464623,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184465623,49368,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184465623,763,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184465623,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184466623,49367,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184466623,763,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184466623,1000,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184467623,49292,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184467623,799,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184467623,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184468624,49297,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184468624,762,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184468624,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184469624,49241,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184469624,1920,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184469624,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184470633,49240,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184470633,1937,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184470633,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184471642,49240,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184471642,750,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184471642,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184472650,49205,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184472650,1951,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184472650,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184473661,49235,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184473661,781,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184473661,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184474673,49235,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184474673,5052,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184474673,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184475683,49230,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184475683,3470,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184475683,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184476699,49226,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184476699,369,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184476699,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184477699,49192,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184477699,400,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184477699,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184478704,49192,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184478704,1550,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184478704,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184479715,49192,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184479716,787,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184479716,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184480724,49214,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184480724,1502,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184480724,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184481735,49213,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184481735,1550,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184481735,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
